,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
58,Female,Yes,2,Graduate,No,2779,3664,176.0,360.0,0.0,Semiurban
59,Male,Yes,3,Graduate,No,4720,0,90.0,180.0,1.0,Semiurban
60,Male,Yes,0,Not Graduate,No,2415,1721,110.0,360.0,1.0,Semiurban
61,Male,Yes,0,Graduate,Yes,7016,292,125.0,360.0,1.0,Urban
62,Female,No,2,Graduate,No,4968,0,189.0,360.0,1.0,Semiurban
63,Female,No,0,Graduate,No,2101,1500,108.0,360.0,0.0,Rural
64,Male,Yes,3,Not Graduate,No,4490,0,125.0,360.0,1.0,Urban
65,Male,Yes,0,Graduate,No,2917,3583,138.0,360.0,1.0,Semiurban
66,Male,Yes,0,Not Graduate,No,4700,0,135.0,360.0,0.0,Semiurban
67,Male,Yes,0,Graduate,No,3445,0,130.0,360.0,0.0,Semiurban
68,Male,Yes,0,Graduate,No,7666,0,187.0,360.0,1.0,Semiurban
69,Male,Yes,0,Graduate,No,2458,5105,188.0,360.0,0.0,Rural
70,Female,No,0,Graduate,No,3250,0,95.0,360.0,1.0,Semiurban
71,Male,No,0,Graduate,No,4463,0,65.0,360.0,1.0,Semiurban
72,Male,Yes,1,Graduate,No,4083,1775,139.0,60.0,1.0,Urban
73,Male,Yes,0,Graduate,Yes,3900,2094,232.0,360.0,1.0,Rural
74,Male,Yes,0,Not Graduate,No,4750,3583,144.0,360.0,1.0,Semiurban
75,Male,No,0,Graduate,No,3583,3435,155.0,360.0,1.0,Urban
76,Male,Yes,0,Graduate,No,3189,2367,186.0,360.0,1.0,Urban
77,Male,No,0,Graduate,Yes,6356,0,50.0,360.0,1.0,Rural
78,Male,Yes,1,Graduate,No,3413,4053,136.13259668508286,360.0,1.0,Semiurban
79,Female,Yes,0,Graduate,No,7950,0,185.0,360.0,1.0,Urban
80,Male,Yes,3,Graduate,No,3829,1103,163.0,360.0,0.0,Urban
81,Male,Yes,3,Graduate,No,72529,0,360.0,360.0,1.0,Urban
82,Male,Yes,2,Not Graduate,No,4136,0,149.0,480.0,0.0,Rural
83,Male,Yes,0,Graduate,No,8449,0,257.0,360.0,1.0,Rural
84,Male,Yes,0,Graduate,No,4456,0,131.0,180.0,0.0,Semiurban
85,Male,Yes,2,Graduate,No,4635,8000,102.0,180.0,1.0,Rural
86,Male,Yes,0,Graduate,No,3571,1917,135.0,360.0,1.0,Urban
87,Male,No,0,Graduate,No,3066,0,95.0,360.0,1.0,Semiurban
88,Male,No,2,Not Graduate,No,3235,2015,77.0,360.0,1.0,Semiurban
89,Female,No,0,Graduate,No,5058,0,200.0,360.0,1.0,Rural
90,Male,Yes,0,Graduate,Yes,3188,2286,130.0,360.0,1.0,Rural
91,Male,Yes,3,Graduate,No,13518,0,390.0,360.0,1.0,Rural
92,Male,Yes,1,Graduate,No,4364,2500,185.0,360.0,1.0,Semiurban
93,Male,Yes,2,Not Graduate,No,4766,1646,100.0,360.0,1.0,Semiurban
94,Male,Yes,1,Graduate,No,4609,2333,123.0,360.0,0.0,Semiurban
95,Female,Yes,3,Graduate,No,6260,0,110.0,360.0,1.0,Semiurban
96,Male,Yes,1,Graduate,No,3333,4200,256.0,360.0,1.0,Urban
97,Male,Yes,0,Graduate,No,3500,3250,140.0,360.0,1.0,Semiurban
98,Male,Yes,3,Graduate,No,9719,0,61.0,360.0,1.0,Urban
99,Male,Yes,3,Graduate,No,6835,0,188.0,360.0,1.0,Semiurban
100,Male,No,0,Graduate,No,4452,0,131.0,360.0,1.0,Rural
101,Female,Yes,0,Graduate,No,2262,0,136.13259668508286,480.0,0.0,Semiurban
102,Male,Yes,1,Graduate,No,3901,0,116.0,360.0,1.0,Urban
103,Male,Yes,2,Not Graduate,No,2687,0,50.0,180.0,1.0,Rural
104,Male,No,0,Graduate,No,2243,2233,107.0,360.0,1.0,Semiurban
105,Female,Yes,0,Graduate,No,3417,1287,200.0,360.0,1.0,Semiurban
106,Male,No,0,Graduate,No,1596,1760,119.0,360.0,0.0,Urban
107,Male,Yes,3,Graduate,No,4513,0,120.0,360.0,1.0,Rural
108,Male,Yes,0,Graduate,No,4500,0,140.0,360.0,1.0,Semiurban
109,Male,Yes,0,Not Graduate,No,4523,1350,165.0,360.0,1.0,Urban
110,Female,No,0,Graduate,Yes,4742,0,108.0,360.0,1.0,Semiurban
111,Male,Yes,0,Graduate,No,4082,0,93.0,360.0,1.0,Semiurban
112,Female,No,0,Graduate,No,3417,0,102.0,360.0,1.0,Urban
113,Female,Yes,2,Graduate,No,2922,3396,122.0,360.0,1.0,Semiurban
114,Male,Yes,0,Graduate,No,4167,4754,160.0,360.0,1.0,Rural
115,Male,No,3,Graduate,No,4243,4123,157.0,360.0,1.0,Semiurban
116,Female,No,0,Not Graduate,No,0,1760,180.0,360.0,1.0,Semiurban
117,Male,Yes,1,Graduate,No,1516,2900,80.0,360.0,0.0,Rural
118,Female,No,0,Graduate,No,1762,2666,104.0,360.0,0.0,Urban
119,Male,Yes,2,Graduate,No,724,3510,213.0,360.0,0.0,Rural
120,Male,No,0,Graduate,No,3125,0,65.0,360.0,1.0,Urban
121,Male,Yes,0,Graduate,No,2333,3803,146.0,360.0,1.0,Rural
122,Male,Yes,3,Graduate,No,3350,1560,135.0,360.0,1.0,Urban
123,Male,No,0,Graduate,No,2500,6414,187.0,360.0,0.0,Rural
124,Female,No,0,Graduate,No,12500,0,300.0,360.0,0.0,Urban
125,Male,No,0,Graduate,No,4667,0,120.0,360.0,1.0,Semiurban
126,Male,No,0,Graduate,No,6500,0,71.0,360.0,0.0,Urban
127,Male,Yes,2,Graduate,No,7500,0,225.0,360.0,1.0,Urban
128,Male,No,0,Graduate,No,3073,0,70.0,180.0,1.0,Urban
129,Male,Yes,1,Not Graduate,No,3321,2088,70.0,360.0,1.0,Semiurban
130,Male,Yes,0,Graduate,No,3333,1270,124.0,360.0,1.0,Urban
131,Male,No,0,Graduate,No,3391,0,132.0,360.0,1.0,Rural
132,Male,Yes,1,Graduate,Yes,3343,1517,105.0,360.0,1.0,Rural
133,Female,No,1,Graduate,No,3620,0,90.0,360.0,1.0,Urban
134,Male,No,0,Graduate,No,4000,0,83.0,84.0,1.0,Urban
135,Male,Yes,0,Graduate,No,4258,0,125.0,360.0,1.0,Urban
136,Male,Yes,2,Graduate,No,4500,0,147.0,360.0,1.0,Rural
137,Male,Yes,1,Graduate,No,2014,2925,120.0,360.0,1.0,Rural
138,Male,No,0,Graduate,No,3333,1250,110.0,360.0,1.0,Semiurban
139,Female,No,3,Graduate,No,4083,0,103.0,360.0,1.0,Semiurban
140,Male,No,0,Graduate,No,4727,0,150.0,360.0,0.0,Rural
141,Male,Yes,3,Graduate,No,3089,2999,100.0,240.0,1.0,Rural
142,Male,Yes,3,Not Graduate,No,6794,528,139.0,360.0,0.0,Urban
143,Male,Yes,0,Graduate,Yes,32000,0,550.0,360.0,1.0,Semiurban
144,Male,Yes,2,Graduate,Yes,10890,0,260.0,12.0,1.0,Rural
145,Female,No,0,Graduate,No,12941,0,150.0,300.0,1.0,Urban
146,Male,No,0,Not Graduate,No,3276,0,90.0,360.0,1.0,Semiurban
147,Male,No,0,Not Graduate,Yes,8703,0,199.0,360.0,0.0,Rural
148,Male,Yes,1,Graduate,No,4742,717,139.0,360.0,1.0,Semiurban
149,Male,No,0,Graduate,No,5900,0,150.0,360.0,1.0,Urban
150,Male,No,0,Graduate,No,3071,4309,180.0,360.0,1.0,Urban
151,Male,Yes,0,Graduate,No,2783,1456,113.0,360.0,1.0,Urban
152,Male,No,0,Graduate,No,5000,0,148.0,360.0,1.0,Rural
153,Male,Yes,1,Not Graduate,No,2463,2360,117.0,360.0,0.0,Urban
154,Male,Yes,2,Graduate,No,4855,0,72.0,360.0,1.0,Rural
155,Male,No,0,Not Graduate,Yes,1599,2474,125.0,300.0,1.0,Semiurban
156,Male,Yes,2,Graduate,Yes,4246,4246,214.0,360.0,1.0,Urban
157,Male,Yes,0,Graduate,No,4333,2291,133.0,350.0,1.0,Rural
158,Male,No,1,Graduate,No,5823,2529,187.0,360.0,1.0,Semiurban
159,Male,Yes,0,Not Graduate,No,7895,0,143.0,360.0,1.0,Rural
160,Male,No,0,Graduate,No,4150,4256,209.0,360.0,1.0,Rural
161,Male,No,0,Graduate,No,2964,0,84.0,360.0,0.0,Semiurban
162,Male,No,0,Graduate,No,5583,0,116.0,360.0,1.0,Urban
163,Female,No,0,Graduate,No,2708,0,65.0,360.0,1.0,Rural
164,Male,No,1,Graduate,No,3180,2370,80.0,240.0,1.0,Rural
165,Male,No,0,Not Graduate,No,2268,0,170.0,360.0,0.0,Semiurban
166,Male,No,2,Not Graduate,No,1141,2017,120.0,360.0,0.0,Urban
167,Male,Yes,0,Graduate,No,3042,3167,135.0,360.0,1.0,Urban
168,Female,Yes,3,Graduate,No,1750,2935,94.0,360.0,0.0,Semiurban
169,Female,Yes,1,Graduate,No,3564,0,79.0,360.0,1.0,Rural
170,Female,No,0,Graduate,No,3958,0,110.0,360.0,1.0,Rural
171,Male,Yes,2,Not Graduate,No,4483,0,130.0,360.0,1.0,Rural
172,Male,Yes,0,Graduate,No,5225,0,143.0,360.0,1.0,Rural
173,Male,No,0,Graduate,No,3017,2845,159.0,180.0,0.0,Urban
174,Male,Yes,0,Not Graduate,No,2431,1820,110.0,360.0,0.0,Rural
175,Male,Yes,2,Graduate,No,4912,4614,160.0,360.0,1.0,Rural
176,Male,Yes,2,Not Graduate,No,2500,3333,131.0,360.0,1.0,Urban
177,Female,No,0,Graduate,No,2918,0,65.0,360.0,1.0,Rural
178,Male,Yes,2,Graduate,No,5128,0,143.0,360.0,1.0,Rural
179,Male,Yes,3,Graduate,No,15312,0,187.0,360.0,1.0,Urban
180,Male,Yes,2,Graduate,No,3958,2632,160.0,360.0,1.0,Semiurban
181,Male,Yes,0,Graduate,No,4334,2945,165.0,360.0,1.0,Semiurban
182,Male,Yes,2,Graduate,No,4358,0,110.0,360.0,1.0,Urban
183,Female,Yes,1,Graduate,No,4000,3917,173.0,360.0,1.0,Rural
184,Male,Yes,3,Graduate,No,10166,750,150.0,360.0,1.0,Urban
185,Male,Yes,0,Not Graduate,No,4483,0,135.0,360.0,1.0,Semiurban
186,Male,Yes,2,Not Graduate,No,4521,1184,150.0,360.0,1.0,Semiurban
187,Male,Yes,2,Graduate,No,9167,0,235.0,360.0,1.0,Semiurban
188,Male,Yes,0,Not Graduate,No,13083,0,136.13259668508286,360.0,1.0,Rural
189,Male,Yes,2,Graduate,No,7874,3967,336.0,360.0,1.0,Rural
190,Female,Yes,1,Graduate,No,4333,0,132.0,84.0,1.0,Rural
191,Male,No,0,Graduate,No,4083,0,96.0,360.0,1.0,Urban
192,Male,Yes,2,Not Graduate,No,3785,2912,180.0,360.0,0.0,Rural
193,Male,Yes,3,Not Graduate,No,2654,1998,128.0,360.0,0.0,Rural
194,Male,Yes,1,Graduate,No,10000,2690,412.0,360.0,1.0,Semiurban
195,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban
196,Male,Yes,1,Graduate,No,4796,0,114.0,360.0,0.0,Semiurban
197,Male,Yes,0,Not Graduate,No,2000,1600,115.0,360.0,1.0,Rural
198,Male,Yes,2,Graduate,No,2540,700,104.0,360.0,0.0,Urban
199,Male,Yes,0,Graduate,Yes,1900,1442,88.0,360.0,1.0,Rural
200,Male,Yes,0,Graduate,Yes,8706,0,108.0,480.0,1.0,Rural
201,Male,Yes,3,Not Graduate,No,2855,542,90.0,360.0,1.0,Urban
202,Male,Yes,0,Graduate,No,3016,1300,100.0,360.0,1.0,Urban
203,Female,Yes,0,Graduate,No,3159,2374,108.0,360.0,1.0,Semiurban
204,Female,No,0,Graduate,No,1937,1152,78.0,360.0,1.0,Semiurban
205,Male,Yes,0,Graduate,No,2613,2417,123.0,360.0,1.0,Semiurban
206,Male,Yes,1,Graduate,No,4960,2600,187.0,360.0,1.0,Semiurban
207,Male,Yes,1,Graduate,No,3074,1083,146.0,360.0,1.0,Semiurban
208,Female,No,0,Graduate,No,4213,0,80.0,360.0,1.0,Urban
209,Male,No,1,Not Graduate,No,2038,4027,100.0,360.0,1.0,Rural
210,Female,No,0,Graduate,No,2362,0,55.0,360.0,1.0,Urban
211,Male,No,0,Graduate,No,5333,2400,200.0,360.0,0.0,Rural
212,Male,Yes,3,Graduate,Yes,5384,0,150.0,360.0,1.0,Semiurban
213,Male,No,0,Graduate,No,5708,0,150.0,360.0,1.0,Rural
214,Male,Yes,0,Not Graduate,No,3754,3719,118.0,360.0,1.0,Rural
215,Male,Yes,0,Not Graduate,No,2914,2130,150.0,300.0,1.0,Urban
216,Male,Yes,0,Not Graduate,No,2747,2458,118.0,36.0,1.0,Semiurban
217,Male,Yes,0,Graduate,No,7830,2183,212.0,360.0,1.0,Rural
218,Male,Yes,1,Graduate,Yes,3507,3148,212.0,360.0,1.0,Rural
219,Male,Yes,1,Graduate,No,3747,2139,125.0,360.0,1.0,Urban
220,Male,Yes,0,Graduate,No,2166,2166,108.0,360.0,1.0,Urban
221,Male,Yes,0,Not Graduate,No,3500,2168,149.0,360.0,1.0,Rural
222,Male,Yes,2,Not Graduate,No,2896,0,80.0,480.0,1.0,Urban
223,Female,No,1,Graduate,No,5062,0,152.0,300.0,1.0,Rural
224,Female,No,2,Graduate,Yes,5184,0,187.0,360.0,0.0,Semiurban
225,Female,No,0,Graduate,No,2545,0,74.0,360.0,1.0,Urban
226,Male,Yes,0,Graduate,No,2553,1768,102.0,360.0,1.0,Urban
227,Male,Yes,1,Graduate,No,3436,3809,100.0,360.0,1.0,Rural
228,Male,No,0,Graduate,No,2412,2755,130.0,360.0,1.0,Rural
229,Male,Yes,3,Not Graduate,No,5180,0,125.0,360.0,0.0,Urban
230,Male,No,0,Graduate,No,14911,14507,130.0,360.0,1.0,Semiurban
231,Male,No,0,Graduate,Yes,2860,2988,138.0,360.0,1.0,Urban
232,Male,Yes,0,Graduate,No,1173,1594,28.0,180.0,1.0,Rural
233,Female,No,1,Graduate,No,7600,0,92.0,360.0,1.0,Semiurban
234,Female,Yes,0,Graduate,No,2157,1788,104.0,360.0,1.0,Urban
235,Male,No,0,Graduate,No,2231,2774,176.0,360.0,0.0,Urban
236,Female,No,0,Graduate,No,2274,5211,117.0,360.0,0.0,Semiurban
237,Male,Yes,2,Not Graduate,No,6166,13983,102.0,360.0,1.0,Rural
238,Male,Yes,2,Not Graduate,No,2513,1110,107.0,360.0,1.0,Semiurban
239,Male,No,0,Graduate,No,4333,0,66.0,480.0,1.0,Urban
240,Male,No,0,Not Graduate,No,3844,0,105.0,360.0,1.0,Urban
241,Male,Yes,0,Graduate,No,3887,1517,105.0,360.0,0.0,Semiurban
242,Male,Yes,0,Graduate,No,3510,828,105.0,360.0,1.0,Semiurban
243,Male,Yes,0,Graduate,No,2539,1704,125.0,360.0,0.0,Rural
244,Female,No,0,Not Graduate,No,2107,0,64.0,360.0,1.0,Semiurban
245,Male,Yes,0,Graduate,No,3186,3145,150.0,180.0,0.0,Semiurban
246,Male,Yes,2,Graduate,Yes,5000,2166,150.0,360.0,1.0,Urban
247,Male,Yes,0,Graduate,No,10000,0,136.13259668508286,360.0,1.0,Urban
248,Male,Yes,0,Not Graduate,Yes,3943,0,64.0,360.0,1.0,Semiurban
249,Male,No,0,Graduate,No,2925,0,40.0,180.0,1.0,Rural
250,Male,Yes,3,Graduate,No,3242,437,142.0,480.0,0.0,Urban
251,Male,Yes,0,Graduate,No,3863,0,70.0,300.0,1.0,Semiurban
252,Female,No,1,Graduate,No,4028,0,131.0,360.0,1.0,Semiurban
253,Male,Yes,2,Graduate,No,4010,1025,120.0,360.0,1.0,Urban
254,Female,Yes,1,Graduate,No,3719,1585,114.0,360.0,1.0,Urban
255,Male,No,0,Graduate,No,2858,0,123.0,360.0,0.0,Rural
256,Female,Yes,0,Graduate,No,3833,0,92.0,360.0,1.0,Rural
257,Male,Yes,0,Graduate,No,3333,4288,160.0,360.0,1.0,Urban
258,Male,Yes,0,Graduate,No,3007,3725,151.0,360.0,1.0,Rural
259,Female,No,1,Graduate,No,1850,4583,81.0,360.0,1.0,Rural
260,Male,Yes,3,Not Graduate,No,2792,2619,171.0,360.0,1.0,Semiurban
261,Male,Yes,0,Graduate,No,2982,1550,110.0,360.0,1.0,Semiurban
262,Male,No,0,Graduate,No,3417,738,100.0,360.0,1.0,Rural
263,Male,Yes,1,Graduate,No,18840,0,234.0,360.0,1.0,Rural
264,Male,Yes,2,Graduate,No,2995,1120,184.0,360.0,1.0,Rural
265,Male,No,0,Graduate,No,3579,3308,138.0,360.0,1.0,Semiurban
266,Female,Yes,1,Not Graduate,No,3835,1400,112.0,480.0,0.0,Urban
267,Female,No,1,Not Graduate,No,3854,3575,117.0,360.0,1.0,Rural
268,Male,Yes,2,Graduate,No,5833,750,49.0,360.0,0.0,Rural
269,Male,No,0,Graduate,No,3508,0,99.0,360.0,1.0,Rural
270,Female,Yes,3,Not Graduate,No,1635,2444,99.0,360.0,1.0,Urban
271,Female,No,0,Graduate,Yes,3333,3916,212.0,360.0,1.0,Rural
272,Male,No,1,Graduate,No,24797,0,240.0,360.0,1.0,Semiurban
273,Male,Yes,2,Graduate,No,5667,440,130.0,360.0,0.0,Semiurban
274,Female,No,0,Graduate,No,3500,0,94.0,360.0,0.0,Semiurban
275,Male,Yes,3,Graduate,No,2773,1497,108.0,360.0,1.0,Semiurban
276,Male,Yes,0,Graduate,No,6500,0,144.0,360.0,1.0,Urban
277,Female,No,0,Graduate,No,5769,0,110.0,180.0,1.0,Semiurban
278,Male,Yes,3,Not Graduate,No,3634,910,176.0,360.0,0.0,Semiurban
279,Male,No,0,Graduate,No,29167,0,185.0,360.0,1.0,Semiurban
280,Male,No,0,Graduate,No,2166,2057,122.0,360.0,1.0,Semiurban
281,Male,Yes,0,Graduate,No,5000,0,126.0,360.0,1.0,Rural
282,Female,No,0,Graduate,No,5530,0,135.0,360.0,1.0,Urban
283,Male,No,0,Not Graduate,No,9000,0,122.0,360.0,1.0,Rural
284,Female,Yes,2,Graduate,No,10000,11666,460.0,360.0,1.0,Urban
285,Male,Yes,1,Graduate,No,8750,0,297.0,360.0,1.0,Urban
286,Male,Yes,0,Not Graduate,No,2157,2730,140.0,360.0,1.0,Rural
287,Male,No,0,Graduate,No,1972,4347,106.0,360.0,1.0,Rural
288,Male,No,0,Graduate,No,4983,0,141.0,360.0,1.0,Urban
289,Male,Yes,1,Graduate,No,8333,4000,136.13259668508286,360.0,1.0,Urban
290,Male,Yes,0,Graduate,No,3667,2000,170.0,360.0,1.0,Semiurban
291,Male,Yes,2,Graduate,No,3166,2833,145.0,360.0,1.0,Urban
292,Male,No,0,Not Graduate,No,3271,0,90.0,360.0,1.0,Rural
293,Female,Yes,0,Graduate,No,2241,2000,88.0,360.0,0.0,Urban
294,Male,Yes,1,Not Graduate,No,1792,2565,128.0,360.0,1.0,Urban
295,Female,Yes,0,Graduate,No,2666,0,84.0,480.0,1.0,Semiurban
296,Male,No,0,Graduate,No,6478,0,108.0,360.0,1.0,Semiurban
297,Male,No,0,Not Graduate,No,3808,0,83.0,360.0,1.0,Rural
298,Female,Yes,2,Not Graduate,No,3729,0,117.0,360.0,1.0,Semiurban
299,Male,Yes,2,Graduate,No,4120,0,128.0,360.0,1.0,Rural
300,Male,Yes,1,Graduate,Yes,7500,0,75.0,360.0,1.0,Urban
301,Male,Yes,1,Graduate,No,6300,0,125.0,360.0,0.0,Urban
302,Female,No,0,Graduate,Yes,14987,0,177.0,360.0,1.0,Rural
303,Male,Yes,1,Not Graduate,Yes,570,2125,68.0,360.0,1.0,Rural
304,Male,Yes,0,Graduate,No,2600,700,96.0,360.0,1.0,Semiurban
305,Male,No,2,Not Graduate,No,2733,1083,180.0,360.0,1.0,Semiurban
306,Male,Yes,2,Graduate,Yes,7500,0,183.0,360.0,1.0,Rural
307,Male,Yes,2,Not Graduate,No,3859,0,121.0,360.0,1.0,Rural
308,Male,Yes,1,Graduate,No,6825,0,162.0,360.0,1.0,Rural
309,Male,Yes,0,Graduate,No,3708,4700,132.0,360.0,1.0,Semiurban
310,Male,No,0,Graduate,No,5314,0,147.0,360.0,1.0,Urban
311,Female,No,3,Graduate,No,2366,5272,153.0,360.0,0.0,Rural
312,Male,No,0,Graduate,No,2066,2108,104.0,84.0,1.0,Urban
313,Male,Yes,2,Graduate,No,5000,0,149.0,360.0,1.0,Rural
314,Female,No,0,Graduate,No,3767,0,134.0,300.0,1.0,Urban
315,Female,Yes,0,Graduate,No,7859,879,165.0,180.0,1.0,Semiurban
316,Female,Yes,0,Graduate,No,4283,0,120.0,360.0,1.0,Rural
317,Male,Yes,0,Not Graduate,No,1700,2900,67.0,360.0,0.0,Urban
318,Male,No,0,Not Graduate,No,4768,0,125.0,360.0,1.0,Rural
319,Male,No,0,Graduate,No,3083,2738,120.0,360.0,1.0,Urban
320,Male,Yes,1,Graduate,No,2667,1542,148.0,360.0,1.0,Rural
321,Female,Yes,0,Not Graduate,No,1647,1762,181.0,360.0,1.0,Urban
322,Male,Yes,3,Graduate,No,3400,0,80.0,120.0,1.0,Urban
323,Male,No,1,Graduate,No,16000,5000,40.0,360.0,1.0,Semiurban
324,Male,Yes,0,Graduate,No,5333,0,90.0,360.0,1.0,Rural
325,Male,No,0,Graduate,No,2875,2416,95.0,6.0,0.0,Semiurban
326,Male,Yes,1,Not Graduate,No,2600,618,122.0,360.0,1.0,Semiurban
327,Male,Yes,2,Graduate,No,5041,700,150.0,360.0,1.0,Urban
328,Male,Yes,3,Graduate,Yes,6958,1411,150.0,360.0,1.0,Rural
329,Male,Yes,1,Graduate,No,3500,1658,104.0,360.0,1.0,Semiurban
330,Male,Yes,0,Graduate,No,5509,0,143.0,360.0,1.0,Rural
331,Male,Yes,3,Graduate,No,9699,0,300.0,360.0,1.0,Urban
332,Female,Yes,1,Not Graduate,No,3621,2717,171.0,360.0,1.0,Urban
333,Female,Yes,0,Graduate,No,4709,0,113.0,360.0,1.0,Semiurban
334,Male,Yes,0,Graduate,No,1516,1951,35.0,360.0,1.0,Semiurban
335,Male,No,2,Graduate,No,2400,0,46.0,360.0,1.0,Urban
336,Female,No,0,Not Graduate,No,3015,2000,145.0,360.0,1.0,Urban
337,Male,Yes,0,Graduate,No,2292,1558,119.0,360.0,1.0,Urban
338,Male,Yes,1,Graduate,Yes,2360,3355,87.0,240.0,1.0,Rural
339,Female,No,0,Graduate,No,4333,2333,162.0,360.0,0.0,Rural
340,Male,Yes,0,Graduate,Yes,2623,4831,122.0,180.0,1.0,Semiurban
341,Male,No,0,Graduate,Yes,3972,4275,187.0,360.0,1.0,Rural
342,Male,Yes,3,Not Graduate,No,3522,0,81.0,180.0,1.0,Rural
343,Male,Yes,1,Graduate,No,4700,0,80.0,360.0,1.0,Urban
344,Male,No,0,Graduate,No,6858,0,176.0,360.0,1.0,Rural
